CmpdID,neuSmi,y,src
cid2755,CC(C)NCC(O)c1ccc(N)c(C#N)c1,1,Tox21
cid2783,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,1,Tox21
cid3045414,CC(C)(C)NC[C@H](O)c1ccc(O)cc1Cl,1,Tox21
cid688561,CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,1,Tox21
cid3779,CC(C)NCC(O)c1ccc(O)c(O)c1,1,Tox21
cid47936,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C,1,Tox21
cid6076,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,1,Tox21
cid5280360,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,1,Tox21
cid2083,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1,Tox21
cid35330,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,1,Tox21
cid16682746,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,1,Tox21
cid2753,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,1,Tox21
cid12540,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,1,Tox21
cid16682828,C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,1,Tox21
cid3033825,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,1,Tox21
cid16683072,C=CC(=O)O[Sn](CCCC)(CCCC)CCCC,1,Tox21
cid17701,CC[Sn](Br)(CC)CC,1,Tox21
cid3047798,CC1CC(=O)NN=C1c1ccc(NCC(C)(C)NCC(O)COc2cc(Cl)ccc2C#N)cc1,1,Tox21
cid299728,Cl[Bi](Cl)(c1ccccc1)(c1ccccc1)c1ccccc1,1,Tox21
cid7436,CNCC(=O)c1ccc(O)c(O)c1,1,Tox21
cid55483,Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O,1,Tox21
cid5816,CNC[C@H](O)c1ccc(O)c(O)c1,1,Tox21
cid16682730,CC(=O)O[Hg]c1ccccc1,1,Tox21
cid62738,Cc1ccc(S(=O)(=O)C(I)I)cc1,1,Tox21
cid20848,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],1,Tox21
cid5405,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,Tox21
cid36392,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,Tox21
cid15583,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,1,Tox21
cid15910,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,Tox21
cid13089,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,1,Tox21
cid13059052,CC(C)(c1ccc(O)c(-c2ccccc2)c1)c1ccc(O)c(-c2ccccc2)c1,1,Tox21
cid13930,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,1,Tox21
cid77328,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,1,Tox21
cid969491,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41,1,Tox21
cid65870,CCOC(=O)Cn1cccc1-c1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)s1,1,Tox21
cid5723,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,1,Tox21
cid34469,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,Tox21
cid7511,Cl[Hg]c1ccccc1,1,Tox21
cid3589,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1,Tox21
cid16683023,CC(O)C(=O)O[Hg]c1ccccc1,1,Tox21
cid2319,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,Tox21
cid15325,N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,Tox21
cid3224,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1,Tox21
cid36606,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],1,Tox21
cid5569,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,Tox21
cid12358480,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C[C@H]3[C@H]3O[C@@H]43)[C@@]1(Cl)C2(Cl)Cl,1,Tox21
cid21943953,Oc1ccc(C2(c3ccc(O)c(C4CCCCC4)c3)CCCCC2)cc1C1CCCCC1,1,Tox21
cid5993,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,1,Tox21
cid75628,CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1,1,Tox21
cid638015,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,1,Tox21
cid33500,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,Tox21
cid13662,O=C1C=CC(=O)N1c1ccccc1,1,Tox21
cid18156,O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1,1,Tox21
cid83648,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,1,Tox21
cid6815,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,1,Tox21
cid12898,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,1,Tox21
cid92387,CSc1ccc(C(=O)C(C)(C)N2CCOCC2)cc1,1,Tox21
cid19042,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,1,Tox21
cid4211,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1,Tox21
cid108956,C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,1,Tox21
cid62097,CCCCNC(=O)OCC#CI,1,Tox21
cid61948,N#CCCC(Br)(C#N)CBr,1,Tox21
cid2754,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,1,Tox21
cid60196414,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H](CC(Cl)[C@@H]3Cl)C1(Cl)C2(Cl)Cl,1,Tox21
cid10935,O=C1C=CC(=O)N1,1,Tox21
cid6669,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,1,Tox21
cid28417,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,1,Tox21
cid62556,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,1,Tox21
cid60196420,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,1,Tox21
cid14145,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,1,Tox21
cid60967,BrC(Br)C(Br)(Br)Br,1,Tox21
cid7311,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,1,Tox21
cid5354,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1,Tox21
cid4197,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,1,Tox21
cid17161,CC(C)(C)C1=CC(=O)C(C(C)(C)C)=CC1=O,1,Tox21
cid164739,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,1,Tox21
cid6436079,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=O)C(C)(C)CCC1,1,Tox21
cid24860538,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](C4C=C[C@H]3C4)C1(Cl)C2(Cl)Cl,1,Tox21
cid8607,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,1,Tox21
cid12309460,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,1,Tox21
cid441140,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1,Tox21
cid4011,CNCCCC12CCC(c3ccccc31)c1ccccc12,1,Tox21
cid10229,Oc1cc2ccccc2c2ccccc12,1,Tox21
